ヤクルト,川崎成晃,13,3,0,0,0,1,0
ヤクルト,藤井亮太,6,0,0,0,0,1,3
ソフトバンク,今宮健太,551,102,26,1,3,45,104
ソフトバンク,中村晃,571,146,22,4,4,64,61
ソフトバンク,李大浩,566,121,30,0,19,56,97
ソフトバンク,柳田悠岐,524,129,18,4,15,93,131
ソフトバンク,長谷川勇也,473,103,30,3,6,63,95
ソフトバンク,内川聖一,488,105,26,1,18,45,48
ソフトバンク,松田宣浩,392,77,20,3,18,26,80
ソフトバンク,本多雄一,344,82,12,6,0,37,47
ソフトバンク,細川亨,247,33,9,0,5,16,83
ソフトバンク,明石健志,250,48,10,4,1,16,54
ソフトバンク,吉村裕基,162,32,11,0,5,26,28
ソフトバンク,鶴岡慎也,162,28,4,3,0,7,23
ソフトバンク,金子圭輔,48,8,2,0,0,11,15
ソフトバンク,江川智晃,31,4,1,1,1,6,12
ソフトバンク,松中信彦,27,2,1,0,0,5,6
ソフトバンク,川島慶三,17,3,0,0,0,4,5
ソフトバンク,牧原大成,13,1,0,0,0,0,6
ソフトバンク,カニザレス,13,1,3,0,0,0,1
ソフトバンク,城所龍磨,8,2,0,0,0,2,3
ソフトバンク,高田知季,10,1,2,0,0,1,4
ソフトバンク,李杜軒,9,1,0,0,0,0,6
ソフトバンク,高谷裕亮,5,0,0,0,0,0,0
ソフトバンク,塚田正義,3,0,0,0,0,0,1
ソフトバンク,猪本健太郎,1,1,0,0,0,0,0
ソフトバンク,山下斐紹,0,0,0,0,0,0,0
ソフトバンク,拓也,0,0,0,0,0,0,0
オリックス,安達了一,486,100,13,5,8,66,79
オリックス,ヘルマン,532,97,28,1,7,59,95
オリックス,糸井嘉男,502,109,36,2,19,91,73
オリックス,ペーニャ,502,76,20,0,32,75,124
オリックス,Ｔ−岡田,472,75,28,0,24,58,107
オリックス,平野恵一,452,103,14,3,1,44,55
オリックス,伊藤光,358,72,16,1,3,30,80
オリックス,坂口智隆,323,64,5,5,2,49,45
オリックス,駿太,246,50,11,3,5,20,55
オリックス,原拓也,161,29,8,1,2,14,27
オリックス,川端崇義,156,36,7,0,2,19,25
オリックス,鉄平,88,12,6,1,1,11,20
オリックス,山崎勝己,65,6,1,0,0,3,20
オリックス,ベタンコート,71,9,1,0,0,0,15
オリックス,バトラー,52,8,2,0,2,13,19
オリックス,中村一生,57,9,5,0,0,4,11
オリックス,竹原直隆,39,7,3,0,1,3,5
オリックス,高橋信二,30,4,2,0,0,2,3
オリックス,縞田拓弥,24,1,1,0,1,3,11
オリックス,谷佳知,16,0,2,0,0,4,5
オリックス,山本和作,12,1,0,0,0,2,2
オリックス,堤裕貴,14,2,0,0,0,0,2
オリックス,武田健吾,8,0,1,0,0,1,3
オリックス,岩崎恭平,8,1,0,0,0,1,4
オリックス,宮崎祐樹,5,1,0,0,0,3,2
オリックス,伏見寅威,5,0,0,0,0,0,1
オリックス,小島脩平,1,0,0,0,0,0,1
オリックス,三ツ俣大樹,1,0,0,0,0,0,1
オリックス,丸毛謙一,0,0,0,0,0,0,0
日本ハム,西川遥輝,555,107,19,13,8,67,139
日本ハム,中田翔,531,98,18,0,27,67,89
日本ハム,陽岱鋼,471,94,18,1,25,57,108
日本ハム,大引啓次,432,82,16,3,5,52,98
日本ハム,中島卓也,382,87,9,3,0,43,92
日本ハム,ミランダ,375,52,19,0,14,50,108
日本ハム,大野奨太,259,29,10,0,6,24,52
日本ハム,近藤健介,264,43,20,1,4,15,45
日本ハム,小谷野栄一,243,54,14,0,4,26,40
日本ハム,大谷翔平,212,30,17,1,10,21,48
日本ハム,谷口雄也,164,34,7,1,2,10,56
日本ハム,市川友也,137,30,4,0,2,9,22
日本ハム,杉谷拳士,123,17,4,2,2,12,19
日本ハム,佐藤賢治,107,13,4,1,3,4,38
日本ハム,石川慎吾,83,15,3,0,1,6,25
日本ハム,稲葉篤紀,77,12,3,0,3,12,13
日本ハム,村田和哉,58,11,0,1,0,2,19
日本ハム,飯山裕志,51,9,2,0,0,5,15
日本ハム,北篤,51,11,1,0,2,8,17
日本ハム,鵜久森淳志,40,7,0,1,0,4,9
日本ハム,岡大海,35,4,0,0,0,3,8
日本ハム,金子誠,21,3,0,0,0,1,7
日本ハム,アブレイユ,19,3,0,0,1,3,7
日本ハム,赤田将吾,13,3,0,0,0,5,3
日本ハム,渡邉諒,5,1,0,0,0,1,3
日本ハム,石川亮,4,0,0,1,0,0,1
日本ハム,岸里亮佑,3,2,0,0,0,0,1
日本ハム,大嶋匠,1,0,0,0,0,0,1
日本ハム,尾崎匡哉,0,0,0,0,0,0,0
日本ハム,中嶋聡,0,0,0,0,0,0,0
ロッテ,鈴木大地,533,114,29,7,3,51,57
ロッテ,角中勝也,451,90,22,5,8,82,66
ロッテ,クルーズ,453,59,32,1,16,21,47
ロッテ,今江敏晃,445,84,23,3,10,28,43
ロッテ,井口資仁,357,51,24,0,10,51,74
ロッテ,加藤翔平,320,60,16,2,3,12,71
ロッテ,岡田幸文,222,52,6,3,0,15,32
ロッテ,サブロー,218,37,13,0,4,28,60
ロッテ,根元俊一,198,25,9,3,2,16,55
ロッテ,ハフマン,185,26,20,0,4,24,51
ロッテ,デスパイネ,161,24,13,1,12,19,36
ロッテ,荻野貴司,142,22,10,2,3,8,14
ロッテ,田村龍弘,128,15,4,1,0,11,27
ロッテ,伊志嶺翔大,118,18,6,1,1,12,18
ロッテ,吉田裕太,123,23,2,0,2,3,38
ロッテ,福浦和也,92,24,2,0,0,15,14
ロッテ,井上晴哉,95,14,4,0,2,8,23
ロッテ,金澤岳,87,20,5,0,1,7,21
ロッテ,ブラゼル,76,12,5,0,4,16,18
ロッテ,大松尚逸,82,6,7,0,2,8,12
ロッテ,高濱卓也,69,12,1,3,0,6,11
ロッテ,江村直也,53,10,1,0,0,3,12
ロッテ,清田育宏,47,1,2,1,4,10,16
ロッテ,川本良平,38,2,2,0,2,0,8
ロッテ,里崎智也,37,7,2,0,0,4,6
ロッテ,細谷圭,33,7,0,0,0,4,8
ロッテ,大嶺翔太,24,3,0,0,2,1,6
ロッテ,三木亮,17,3,0,0,0,1,5
ロッテ,早坂圭介,6,0,0,0,1,0,0
ロッテ,青松敬鎔,5,1,0,0,0,0,1
西武,栗山巧,532,112,34,4,3,101,100
西武,秋山翔吾,475,89,24,6,4,75,98
西武,浅村栄斗,440,86,19,1,14,55,100
西武,中村剛也,382,44,19,1,34,81,124
西武,メヒア,396,69,11,1,34,52,156
西武,渡辺直人,350,73,17,1,0,43,46
西武,炭谷銀仁朗,381,56,13,1,7,19,74
西武,木村文紀,284,36,13,2,10,23,112
西武,金子侑司,243,45,10,3,2,16,48
西武,脇谷亮太,205,41,11,0,2,17,45
西武,森本稀哲,147,26,8,3,0,17,42
西武,熊代聖人,115,20,4,1,0,19,29
西武,ランサム,118,15,8,0,2,20,49
西武,斉藤彰吾,107,20,1,1,2,14,42
西武,大崎雄太朗,101,21,3,0,1,6,14
西武,永江恭平,88,9,7,0,0,5,31
西武,鬼崎裕司,85,14,5,0,0,8,29
西武,森友哉,80,10,6,0,6,12,22
西武,林崎遼,38,8,2,0,0,4,6
西武,岡田雅利,32,4,2,0,0,1,7
西武,山崎浩司,33,7,0,0,1,0,5
西武,山川穂高,30,1,0,0,2,4,10
西武,上本達之,27,1,3,0,0,3,8
西武,米野智人,19,4,0,0,0,0,4
西武,アブレイユ,16,3,0,1,0,1,6
西武,星孝典,13,0,1,0,0,0,3
西武,梅田尚通,11,1,0,0,1,1,3
西武,石川貢,10,0,0,0,0,1,2
西武,武山真吾,1,0,0,0,0,0,1
西武,美沢将,0,0,0,0,0,0,0
楽天,岡島豪郎,545,117,27,3,7,63,71
楽天,ジョーンズ,448,55,20,0,24,135,140
楽天,藤田一也,517,120,15,2,2,19,55
楽天,銀次,459,120,26,0,4,45,45
楽天,松井稼頭央,444,86,32,3,8,37,78
楽天,嶋基宏,350,78,13,0,1,67,84
楽天,西田哲朗,372,67,19,0,7,28,100
楽天,枡田慎太郎,210,32,9,0,5,38,66
楽天,島内宏明,215,40,7,3,2,19,22
楽天,ボウカー,214,33,12,1,7,14,55
楽天,聖澤諒,182,38,7,2,1,24,46
楽天,牧田明久,184,35,5,1,2,15,18
楽天,後藤光尊,138,23,3,1,1,1,38
楽天,小関翔太,99,10,5,0,0,1,31
楽天,ユーキリス,65,9,4,0,1,13,23
楽天,岩崎達郎,54,7,2,1,0,6,12
楽天,ラッツ,51,8,3,0,5,6,7
楽天,森山周,44,7,1,0,0,4,12
楽天,小斉祐輔,29,2,2,0,1,3,8
楽天,伊志嶺忠,22,2,0,0,0,2,6
楽天,阿部俊人,20,5,0,0,0,0,4
楽天,榎本葵,21,1,1,1,0,1,8
楽天,エバンス,18,2,0,0,0,0,7
楽天,内田靖人,17,1,0,0,0,0,7
楽天,西村弥,12,3,0,0,0,0,4
楽天,中島俊哉,9,1,0,0,0,0,1
楽天,三好匠,7,0,2,0,0,0,3
楽天,中川大志,1,0,0,0,0,0,0
楽天,小山桂司,0,0,0,0,0,0,0
楽天,下妻貴寛,0,0,0,0,0,0,0
